Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,6/1/15,6/30/15,1,0.56,USD,Canada,,,,,B00TG14YOW,,KU,,,,0.56,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KU,,,,1.6031748,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KINDLE,,,,1.6031748,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,15,11.78,USD,United States,,,,,B00U9WWUAC,,KINDLE,,,,11.78,Heather Huffman,Waiting for You
Encore,6/1/15,6/30/15,16,12.56,USD,United States,,,,,B00U9WWUAC,,KU,,,,12.56,Heather Huffman,Waiting for You
Encore,6/1/15,6/30/15,3,2.79,USD,United States,,,,,B00U9WWU84,,KINDLE,,,,2.79,Arleen Williams,Running Secrets
Encore,6/1/15,6/30/15,2,2.79,USD,China,,,,,B00U9WWU84,,KINDLE,,,,2.79,Arleen Williams,Running Secrets
Encore,6/1/15,6/30/15,11,8.06,USD,United States,,,,,B00U9WWU8Y,,KU,,,,8.06,Ina Zajac,"Please, Pretty Lights"
Encore,6/1/15,6/30/15,31,22.71,USD,United States,,,,,B00U9WWU8Y,,KINDLE,,,,22.71,Ina Zajac,"Please, Pretty Lights"
Encore,6/1/15,6/30/15,1,0.72,USD,United States,,,,,B00U9WWU9S,,KOLL,,,,0.72,Lori Culwell,The Dirt
Encore,6/1/15,6/30/15,27,19.51,USD,United States,,,,,B00U9WWU9S,,KINDLE,,,,19.51,Lori Culwell,The Dirt
Encore,6/1/15,6/30/15,8,5.78,USD,United States,,,,,B00U9WWU9S,,KU,,,,5.78,Lori Culwell,The Dirt
Encore,6/1/15,6/30/15,4,3.18,USD,United States,,,,,B00TG14YOC,,KU,,,,3.18,Anne McCarthy Strauss,A Medical Affair
Encore,6/1/15,6/30/15,2,1.59,USD,United States,,,,,B00TG14YOC,,KOLL,,,,1.59,Anne McCarthy Strauss,A Medical Affair
Encore,6/1/15,6/30/15,28,22.3,USD,United States,,,,,B00TG14YOC,,KINDLE,,,,22.3,Anne McCarthy Strauss,A Medical Affair
Encore,6/1/15,6/30/15,1,1.39,USD,Australia,,,,,B00TG14YOC,,KINDLE,,,,1.39,Anne McCarthy Strauss,A Medical Affair
Encore,6/1/15,6/30/15,2,2.77,USD,United States,,,,,B00TG14YRO,,KINDLE,,,,2.77,Jesse James Freeman,Billy Purgatory: I am the Devil Bird
Encore,6/1/15,6/30/15,3,4.15,USD,United States,,,,,B00TG14YRO,,KU,,,,4.15,Jesse James Freeman,Billy Purgatory: I am the Devil Bird
Encore,6/1/15,6/30/15,33,28.01,USD,United States,,,,,B00U9WWU6G,,KU,,,,28.01,Carolyn Ridder Aspenson,Unfinished Business
Encore,6/1/15,6/30/15,5,4.24,USD,United States,,,,,B00U9WWU6G,,KOLL,,,,4.24,Carolyn Ridder Aspenson,Unfinished Business
Encore,6/1/15,6/30/15,92,78.08,USD,United States,,,,,B00U9WWU6G,,KINDLE,,,,78.08,Carolyn Ridder Aspenson,Unfinished Business
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU6G,,KINDLE,,,,1.6031748,Carolyn Ridder Aspenson,Unfinished Business
Encore,6/1/15,6/30/15,1,0.84,USD,United States,,,,,B00TG14YV0,,KOLL,,,,0.84,February Grace,Of Stardust
Encore,6/1/15,6/30/15,15,12.55,USD,United States,,,,,B00TG14YV0,,KINDLE,,,,12.55,February Grace,Of Stardust
Encore,6/1/15,6/30/15,7,5.86,USD,United States,,,,,B00TG14YV0,,KU,,,,5.86,February Grace,Of Stardust
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YV0,,KU,,,,1.6031748,February Grace,Of Stardust
Encore,6/1/15,6/30/15,8,6.13,USD,United States,,,,,B00TG14YPG,,KU,,,,6.13,Kelly Hess,Eyes of the Enemy
Encore,6/1/15,6/30/15,1,0.77,USD,United States,,,,,B00TG14YPG,,KOLL,,,,0.77,Kelly Hess,Eyes of the Enemy
Encore,6/1/15,6/30/15,30,23,USD,United States,,,,,B00TG14YPG,,KINDLE,,,,23,Kelly Hess,Eyes of the Enemy
Encore,6/1/15,6/30/15,1,1.03,EUR,Germany,,,,,B00TG14YPG,,KU,,,,1.1427232,Kelly Hess,Eyes of the Enemy
Encore,6/1/15,6/30/15,1,1.03,EUR,Germany,,,,,B00TG14YPG,,KINDLE,,,,1.1427232,Kelly Hess,Eyes of the Enemy
Encore,6/1/15,6/30/15,115,160.81,USD,United States,,,,,B00TG14YRE,,KU,,,,160.81,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,51,71.32,USD,United States,,,,,B00TG14YRE,,KINDLE,,,,71.32,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,15,20.98,USD,United States,,,,,B00TG14YRE,,KOLL,,,,20.98,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,2,2.83,USD,Australia,,,,,B00TG14YRE,,KINDLE,,,,2.83,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YRE,,KOLL,,,,1.6031748,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,15,15.28,GBP,United Kingdom,,,,,B00TG14YRE,,KINDLE,,,,24.0161872,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,18,18.33,GBP,United Kingdom,,,,,B00TG14YRE,,KU,,,,28.8099942,A.J. Aalto,Death Rejoices
Encore,6/1/15,6/30/15,3,4.19,USD,United States,,,,,B00TG14YUQ,,KINDLE,,,,4.19,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,1,1.4,USD,United States,,,,,B00TG14YUQ,,KOLL,,,,1.4,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,13,18.15,USD,United States,,,,,B00TG14YUQ,,KU,,,,18.15,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YUQ,,KU,,,,3.2063496,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YUQ,,KINDLE,,,,3.2063496,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YUQ,,KOLL,,,,1.6031748,Geoffrey Morrison,Undersea
Encore,6/1/15,6/30/15,121,98.29,USD,United States,,,,,B00U9WWU7A,,KINDLE,,,,98.29,C.L. LeMay,Rivercreek Crossing
Encore,6/1/15,6/30/15,1,0.81,USD,United States,,,,,B00U9WWU7A,,KOLL,,,,0.81,C.L. LeMay,Rivercreek Crossing
Encore,6/1/15,6/30/15,21,17.06,USD,United States,,,,,B00U9WWU7A,,KU,,,,17.06,C.L. LeMay,Rivercreek Crossing
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU7A,,KOLL,,,,1.6031748,C.L. LeMay,Rivercreek Crossing
Encore,6/1/15,6/30/15,3,4.19,USD,United States,,,,,B00TG14Z9G,,KU,,,,4.19,Terry Persun,Doublesight
Encore,6/1/15,6/30/15,4,5.59,USD,United States,,,,,B00TG14Z9G,,KINDLE,,,,5.59,Terry Persun,Doublesight
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14Z9G,,KINDLE,,,,1.6031748,Terry Persun,Doublesight
Encore,6/1/15,6/30/15,13,9.75,USD,United States,,,,,B00TG14Z7S,,KINDLE,,,,9.75,Terry Persun,Revision 7: DNA
Encore,6/1/15,6/30/15,45,38.32,USD,United States,,,,,B00U9WWU70,,KU,,,,38.32,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,4,3.41,USD,United States,,,,,B00U9WWU70,,KOLL,,,,3.41,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,123,104.74,USD,United States,,,,,B00U9WWU70,,KINDLE,,,,104.74,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,4,4.07,GBP,United Kingdom,,,,,B00U9WWU70,,KU,,,,6.3969818,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,3,3.06,GBP,United Kingdom,,,,,B00U9WWU70,,KINDLE,,,,4.8095244,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,4,4.07,GBP,United Kingdom,,,,,B00U9WWU70,,KOLL,,,,6.3969818,Kenneth G. Bennett,Exodus 2022
Encore,6/1/15,6/30/15,1,0.79,USD,United States,,,,,B00U9WWU5M,,KOLL,,,,0.79,Shari J. Ryan,Schasm
Encore,6/1/15,6/30/15,245,193.38,USD,United States,,,,,B00U9WWU5M,,KINDLE,,,,193.38,Shari J. Ryan,Schasm
Encore,6/1/15,6/30/15,9,7.1,USD,United States,,,,,B00U9WWU5M,,KU,,,,7.1,Shari J. Ryan,Schasm
Encore,6/1/15,6/30/15,0,0,USD,Japan,,,,,B00U9WWU5M,,KINDLE,,,,0,Shari J. Ryan,Schasm
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWU5M,,KU,,,,1.6031748,Shari J. Ryan,Schasm
Encore,6/1/15,6/30/15,1,0.81,USD,United States,,,,,B00U9WWUQG,,KOLL,,,,0.81,A.L. Waddington,Essence
Encore,6/1/15,6/30/15,21,17.01,USD,United States,,,,,B00U9WWUQG,,KINDLE,,,,17.01,A.L. Waddington,Essence
Encore,6/1/15,6/30/15,16,12.96,USD,United States,,,,,B00U9WWUQG,,KU,,,,12.96,A.L. Waddington,Essence
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00U9WWUQG,,KU,,,,1.6031748,A.L. Waddington,Essence
Encore,6/1/15,6/30/15,45,54.91,USD,United States,,,,,B00TG14ZHS,,KINDLE,,,,54.91,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,6,7.32,USD,United States,,,,,B00TG14ZHS,,KOLL,,,,7.32,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,44,53.69,USD,United States,,,,,B00TG14ZHS,,KU,,,,53.69,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,3,4.2,USD,Canada,,,,,B00TG14ZHS,,KU,,,,4.2,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,1,1.4,USD,Canada,,,,,B00TG14ZHS,,KINDLE,,,,1.4,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,4,4.07,GBP,United Kingdom,,,,,B00TG14ZHS,,KU,,,,6.3969818,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,7,7.13,GBP,United Kingdom,,,,,B00TG14ZHS,,KINDLE,,,,11.2065062,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,2,2.05,EUR,Germany,,,,,B00TG14ZHS,,KINDLE,,,,2.274352,Angel Sefer,Spellbound in His Arms
Encore,6/1/15,6/30/15,42,32.01,USD,United States,,,,,B00U9WWU5W,,KINDLE,,,,32.01,Tiffany Pitts,Double Blind
Encore,6/1/15,6/30/15,20,15.25,USD,United States,,,,,B00U9WWU5W,,KU,,,,15.25,Tiffany Pitts,Double Blind
Encore,6/1/15,6/30/15,2,2.79,USD,United States,,,,,B00TG14YQ0,,KU,,,,2.79,Gale Martin,Who Killed 'Tom Jones'?
Encore,6/1/15,6/30/15,20,27.59,USD,United States,,,,,B00TG14YVA,,KINDLE,,,,27.59,Lisa Fernow,Dead on Her Feet
Encore,6/1/15,6/30/15,29,40.01,USD,United States,,,,,B00TG14YVA,,KU,,,,40.01,Lisa Fernow,Dead on Her Feet
Encore,6/1/15,6/30/15,2,2.76,USD,United States,,,,,B00TG14YVA,,KOLL,,,,2.76,Lisa Fernow,Dead on Her Feet
