Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,4/1/15,4/30/15,33,46.08,USD,United States,,,,,B00U9WWU6G,,KINDLE,,,,46.08,Carolyn Ridder Aspenson,Unfinished Business
Encore,4/1/15,4/30/15,5,6.98,USD,United States,,,,,B00OA9GDCQ,,KU,,,,6.98,D.E.L. Connor,The Concealing
Encore,4/1/15,4/30/15,5,6.98,USD,United States,,,,,B00OA9GDCQ,,KINDLE,,,,6.98,D.E.L. Connor,The Concealing
Encore,4/1/15,4/30/15,13,18.15,USD,United States,,,,,B00TG14YV0,,KU,,,,18.15,February Grace,Of Stardust
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00TG14YV0,,KOLL,,,,1.4,February Grace,Of Stardust
Encore,4/1/15,4/30/15,3,4.19,USD,United States,,,,,B00TG14YV0,,KINDLE,,,,4.19,February Grace,Of Stardust
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YV0,,KINDLE,,,,3.1376016,February Grace,Of Stardust
Encore,4/1/15,4/30/15,26,36.31,USD,United States,,,,,B00OA9GFPQ,,KU,,,,36.31,Gale Martin,Grace Unexpected
Encore,4/1/15,4/30/15,6,8.38,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,8.38,Gale Martin,Grace Unexpected
Encore,4/1/15,4/30/15,12,16.76,USD,United States,,,,,B00OA9GFPQ,,KINDLE,,,,16.76,Gale Martin,Grace Unexpected
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00TG14YUQ,,KU,,,,1.4,Geoffrey Morrison,Undersea
Encore,4/1/15,4/30/15,3,4.19,USD,United States,,,,,B00TG14YUQ,,KINDLE,,,,4.19,Geoffrey Morrison,Undersea
