Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],TITLE,AUTHOR,RETAILER,PERIOD
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620155981,,,,,,5.99,,,2.54575,Dead Girl Walking,Ruth Silver,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620152454,,,,,,5.99,,,2.54575,Godspeed,February Grace,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,United States of America,,9781620153093,,,,,,7.99,,,3.39575,Harm None,Will North,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620156087,,,,,,6.99,,,2.97075,How do you Know?,Meredith Schorr,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,Canada,,9781620155721,,,,,,7.99,,,3.39575,Misadventures of Princess Sydney,Chris Minich,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,Canada,,9781620155158,,,,,,5.99,,,2.54575,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,New Zealand,,9781620155158,,,,,,5.99,,,2.54575,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,4,10.183,USD,United States of America,,9781620155158,,,,,,5.99,,,10.183,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,4.67075,USD,United States of America,,9781620154526,,,,,,10.99,,,4.67075,OFFSIDE: A Mystery,William P. Barrett,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,Canada,,9781620155769,,,,,,5.99,,,2.54575,Orenda,Ruth Silver,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620155653,,,,,,6.99,,,2.97075,Organ Reapers,Shay West,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,"Singapore, Republic of",,9781620150726,,,,,,7.99,,,3.39575,"Princesses can be Pirates, Too!",Christi Zellerhoff,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,Canada,,9781620154496,,,,,,7.99,,,3.39575,Return to Sender,Mindy S. Halleck,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,New Zealand,,9781620154496,,,,,,7.99,,,3.39575,Return to Sender,Mindy S. Halleck,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.39575,USD,United States of America,,9781620154496,,,,,,7.99,,,3.39575,Return to Sender,Mindy S. Halleck,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620150436,,,,,,5.99,,,2.54575,Ring of Fire,Heather Huffman,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,2,5.9415,USD,United States of America,,9781620152386,,,,,,6.99,,,5.9415,Riverbend,Tess Thompson,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,3,7.63725,USD,United States of America,,9781620150191,,,,,,5.99,,,7.63725,Riversong,Tess Thompson,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,2,5.9415,USD,United States of America,,9781620152423,,,,,,6.99,,,5.9415,Riverstar,Tess Thompson,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,Canada,,9781620155219,,,,,,5.99,,,2.54575,Ruby's Letters,Maggie Van Well,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620155219,,,,,,5.99,,,2.54575,Ruby's Letters,Maggie Van Well,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,Canada,,9781620155271,,,,,,6.99,,,2.97075,Spring Shadows,Jennifer Gracen,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620155271,,,,,,6.99,,,2.97075,Spring Shadows,Jennifer Gracen,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,Canada,,9781620155295,,,,,,5.99,,,2.54575,That's a Promise,Victoria Klahr,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620155714,,,,,,5.99,,,2.54575,The Green Dagger,Kelly Hess,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620150320,,,,,,5.99,,,2.54575,The Key to Everything,Alex Kimmell,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620156155,,,,,,6.99,,,2.97075,The Passion Thief,Anne  McCarthy Strauss,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,4.24575,USD,United States of America,,9781620153352,,,,,,9.99,,,4.24575,The River Valley Collection Boxed Set,Tess Thompson,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620156254,,,,,,6.99,,,2.97075,Trigger,Jill Meengs,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.97075,USD,United States of America,,9781620156025,,,,,,6.99,,,2.97075,Waiting on Justin,Lucy H. Delaney,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,2.54575,USD,United States of America,,9781620153147,,,,,,5.99,,,2.54575,What Echoes Render,Tamsen Schultz,OverDrive Download Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,3.9963,USD,United States of America,,9781620151013,,,,,,7.99,,,3.9963,The Romance of Grace,Jim  McNeely III,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,4/1/15,,1,4.9973,USD,United States of America,,9781620152201,,,,,,9.99,,,4.9973,The Shadows Series,Marni Mann,3M Retail Sales USA,P04 15 (Apr 15)
Inscribe,3/1/15,,1,3.4,USD,"Australia, Commonwealth of",,9781620156292,,,,,,7.99,,,3.4,Auggie Appleby's Trouble in Toyland,"Billie Morton, Robin Maxwell",OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,1,3.4,USD,"Australia, Commonwealth of",,9781620156186,,,,,,7.99,,,3.4,Auggie Appleby's Wild Goose Chase,"Billie Morton, Robin Maxwell",OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,1,3.4,USD,United States of America,,9781620156186,,,,,,7.99,,,3.4,Auggie Appleby's Wild Goose Chase,"Billie Morton, Robin Maxwell",OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,1,2.975,USD,"Singapore, Republic of",,9781620153796,,,,,,6.99,,,2.975,Enlightened,A.L. Waddington,OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,2,5.95,USD,United States of America,,9781620156087,,,,,,6.99,,,5.95,How do you Know?,Meredith Schorr,OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,1,1.275,USD,United States of America,,9781620154120,,,,,,2.99,,,1.275,How to Un-Marry a Millionaire,Billie Morton,OverDrive Download Retail Sales USA,P03 15 (Mar 15)
Inscribe,3/1/15,,1,4.25,USD,United States of America,,9781620154533,,,,,,9.99,,,4.25,Legley Bay Collection,Tess Thompson,OverDrive Download Retail Sales USA,P03 15 (Mar 15)
