Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date,9/30/15
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00OA9GE3E,,Standard,,,,1.1580496,Caramel and Magnolias,Tess Thompson,,,1.12432
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00OA9GE3E,,KU,,,,1.1580496,Caramel and Magnolias,Tess Thompson,,,1.12432
Encore,9/1/15,,57,47.07,USD,United States,,,,,B00TG14YPQ,,KOLL,,,,47.07,The Paragraph Ranch,"Kay Ellington, Barbara Brannon",,,1
Encore,9/1/15,,1279,1056.24,USD,United States,,,,,B00TG14YPQ,,Standard,,,,1056.24,The Paragraph Ranch,"Kay Ellington, Barbara Brannon",,,1
Encore,9/1/15,,438,361.71,USD,United States,,,,,B00TG14YPQ,,KU,,,,361.71,The Paragraph Ranch,"Kay Ellington, Barbara Brannon",,,1
Encore,9/1/15,,1,1.39,USD,Canada,,,,,B00TG14YPQ,,Standard,,,,1.39,The Paragraph Ranch,"Kay Ellington, Barbara Brannon",,,1
Encore,9/1/15,,3,3.99,USD,Australia,,,,,B00TG14YPQ,,Standard,,,,3.99,The Paragraph Ranch,"Kay Ellington, Barbara Brannon",,,1
Encore,9/1/15,,55,74.67,USD,United States,,,,,B00TG14YOW,,Standard,,,,74.67,Autumn Getaway,Jennifer Gracen,,,1
Encore,9/1/15,,166,225.35,USD,United States,,,,,B00TG14YOW,,KU,,,,225.35,Autumn Getaway,Jennifer Gracen,,,1
Encore,9/1/15,,14,19,USD,United States,,,,,B00TG14YOW,,KOLL,,,,19,Autumn Getaway,Jennifer Gracen,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,Standard,,,,1.5467688,Autumn Getaway,Jennifer Gracen,,,1.51644
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00U9WWUAC,,KU,,,,4.19,Waiting for You,Heather Huffman,,,1
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00U9WWUAC,,Standard,,,,4.19,Waiting for You,Heather Huffman,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00U9WWUAC,,KU,,,,1.5467688,Waiting for You,Heather Huffman,,,1.51644
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00U9WWU84,,Standard,,,,1.37,Running Secrets,Arleen Williams,,,1
Encore,9/1/15,,4,2.79,USD,United States,,,,,B00U9WWU8Y,,KU,,,,2.79,Please Pretty Lights,Ina Zajac,,,1
Encore,9/1/15,,6,4.18,USD,United States,,,,,B00U9WWU8Y,,Standard,,,,4.18,Please Pretty Lights,Ina Zajac,,,1
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00U9WWU9S,,KU,,,,4.19,The Dirt,Lori Culwell,,,1
Encore,9/1/15,,5,6.98,USD,United States,,,,,B00TG14YOC,,KU,,,,6.98,A Medical Affair,Anne McCarthy Strauss,,,1
Encore,9/1/15,,5,6.98,USD,United States,,,,,B00TG14YOC,,Standard,,,,6.98,A Medical Affair,Anne McCarthy Strauss,,,1
Encore,9/1/15,,1,1.4,USD,United States,,,,,B00TG14YOC,,KOLL,,,,1.4,A Medical Affair,Anne McCarthy Strauss,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00TG14YOC,,KOLL,,,,1.5467688,A Medical Affair,Anne McCarthy Strauss,,,1.51644
Encore,9/1/15,,15,10.8,USD,United States,,,,,B00TG14YRO,,Standard,,,,10.8,I am the Devil Bird,Jesse James Freeman,,,1
Encore,9/1/15,,1,0.72,USD,United States,,,,,B00TG14YRO,,KU,,,,0.72,I am the Devil Bird,Jesse James Freeman,,,1
Encore,9/1/15,,12,16.6,USD,United States,,,,,B00U9WWU6G,,Standard,,,,16.6,Unfinished Business,Carolyn Ridder Aspenson,,,1
Encore,9/1/15,,3,4.15,USD,United States,,,,,B00U9WWU6G,,KOLL,,,,4.15,Unfinished Business,Carolyn Ridder Aspenson,,,1
Encore,9/1/15,,10,13.83,USD,United States,,,,,B00U9WWU6G,,KU,,,,13.83,Unfinished Business,Carolyn Ridder Aspenson,,,1
Encore,9/1/15,,9,12.28,USD,Canada,,,,,B00U9WWU6G,,Standard,,,,12.28,Unfinished Business,Carolyn Ridder Aspenson,,,1
Encore,9/1/15,,3,3.99,USD,Australia,,,,,B00U9WWU6G,,Standard,,,,3.99,Unfinished Business,Carolyn Ridder Aspenson,,,1
Encore,9/1/15,,16,16.3,GBP,United Kingdom,,,,,B00U9WWU6G,,Standard,,,,24.717972,Unfinished Business,Carolyn Ridder Aspenson,,,1.51644
Encore,9/1/15,,8,8.15,GBP,United Kingdom,,,,,B00U9WWU6G,,KU,,,,12.358986,Unfinished Business,Carolyn Ridder Aspenson,,,1.51644
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00U9WWU6G,,Standard,,,,1.1580496,Unfinished Business,Carolyn Ridder Aspenson,,,1.12432
Encore,9/1/15,,2,2.79,USD,United States,,,,,B00TG14YV0,,KU,,,,2.79,Of Stardust,February,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00TG14YV0,,Standard,,,,1.5467688,Of Stardust,February,,,1.51644
Encore,9/1/15,,4,5.59,USD,United States,,,,,B00TG14YPG,,Standard,,,,5.59,Eyes of the Enemy,Kelly Hess,,,1
Encore,9/1/15,,6,8.38,USD,United States,,,,,B00TG14YPG,,KU,,,,8.38,Eyes of the Enemy,Kelly Hess,,,1
Encore,9/1/15,,0,0,GBP,United Kingdom,,,,,B00TG14YPG,,Standard,,,,0,Eyes of the Enemy,Kelly Hess,,,1.51644
Encore,9/1/15,,5,6.78,USD,United States,,,,,B00TG14YRE,,KOLL,,,,6.78,Death Rejoices,A.J. Aalto,,,1
Encore,9/1/15,,76,103,USD,United States,,,,,B00TG14YRE,,KU,,,,103,Death Rejoices,A.J. Aalto,,,1
Encore,9/1/15,,49,66.41,USD,United States,,,,,B00TG14YRE,,Standard,,,,66.41,Death Rejoices,A.J. Aalto,,,1
Encore,9/1/15,,1,1.37,USD,Australia,,,,,B00TG14YRE,,Standard,,,,1.37,Death Rejoices,A.J. Aalto,,,1
Encore,9/1/15,,10,10.19,GBP,United Kingdom,,,,,B00TG14YRE,,Standard,,,,15.4525236,Death Rejoices,A.J. Aalto,,,1.51644
Encore,9/1/15,,9,9.17,GBP,United Kingdom,,,,,B00TG14YRE,,KU,,,,13.9057548,Death Rejoices,A.J. Aalto,,,1.51644
Encore,9/1/15,,2,1.47,USD,United States,,,,,B00TG14YUQ,,KOLL,,,,1.47,Undersea,Geoffrey,,,1
Encore,9/1/15,,19,13.96,USD,United States,,,,,B00TG14YUQ,,KU,,,,13.96,Undersea,Geoffrey,,,1
Encore,9/1/15,,66,48.49,USD,United States,,,,,B00TG14YUQ,,Standard,,,,48.49,Undersea,Geoffrey,,,1
Encore,9/1/15,,4,5.59,USD,United States,,,,,B00U9WWU7A,,Standard,,,,5.59,Rivercreek Crossing,C.L. LeMay,,,1
Encore,9/1/15,,9,12.57,USD,United States,,,,,B00U9WWU7A,,KU,,,,12.57,Rivercreek Crossing,C.L. LeMay,,,1
Encore,9/1/15,,181,108.92,USD,Australia,,,,,B00U9WWU7A,,Standard,,,,108.92,Rivercreek Crossing,C.L. LeMay,,,1
Encore,9/1/15,,72,20.91,GBP,United Kingdom,,,,,B00U9WWU7A,,KU,,,,31.7087604,Rivercreek Crossing,C.L. LeMay,,,1.51644
Encore,9/1/15,,9,2.61,GBP,United Kingdom,,,,,B00U9WWU7A,,KOLL,,,,3.9579084,Rivercreek Crossing,C.L. LeMay,,,1.51644
Encore,9/1/15,,1150,333.96,GBP,United Kingdom,,,,,B00U9WWU7A,,Standard,,,,506.4303024,Rivercreek Crossing,C.L. LeMay,,,1.51644
Encore,9/1/15,,16,11.84,USD,United States,,,,,B00TG14Z9G,,Standard,,,,11.84,Doublesight,Terry Persun,,,1
Encore,9/1/15,,1,0.74,USD,United States,,,,,B00TG14Z9G,,KOLL,,,,0.74,Doublesight,Terry Persun,,,1
Encore,9/1/15,,7,5.18,USD,United States,,,,,B00TG14Z9G,,KU,,,,5.18,Doublesight,Terry Persun,,,1
Encore,9/1/15,,19,25.18,USD,United States,,,,,B00U9WWU70,,KU,,,,25.18,Exodus 2022,Kenneth,,,1
Encore,9/1/15,,11,14.58,USD,United States,,,,,B00U9WWU70,,Standard,,,,14.58,Exodus 2022,Kenneth,,,1
Encore,9/1/15,,3,3.98,USD,United States,,,,,B00U9WWU70,,KOLL,,,,3.98,Exodus 2022,Kenneth,,,1
Encore,9/1/15,,1,1.33,USD,Australia,,,,,B00U9WWU70,,Standard,,,,1.33,Exodus 2022,Kenneth,,,1
Encore,9/1/15,,15,12.84,GBP,United Kingdom,,,,,B00U9WWU70,,KU,,,,19.4710896,Exodus 2022,Kenneth,,,1.51644
Encore,9/1/15,,4,3.42,GBP,United Kingdom,,,,,B00U9WWU70,,KOLL,,,,5.1862248,Exodus 2022,Kenneth,,,1.51644
Encore,9/1/15,,9,7.7,GBP,United Kingdom,,,,,B00U9WWU70,,Standard,,,,11.676588,Exodus 2022,Kenneth,,,1.51644
Encore,9/1/15,,2,2.49,EUR,France,,,,,B00U9WWU70,,Standard,,,,2.7995568,Exodus 2022,Kenneth,,,1.12432
Encore,9/1/15,,5,6.98,USD,United States,,,,,B00U9WWU5M,,KOLL,,,,6.98,Schasm,Shari J. Ryan,,,1
Encore,9/1/15,,14,19.55,USD,United States,,,,,B00U9WWU5M,,KU,,,,19.55,Schasm,Shari J. Ryan,,,1
Encore,9/1/15,,2,2.79,USD,United States,,,,,B00U9WWU5M,,Standard,,,,2.79,Schasm,Shari J. Ryan,,,1
Encore,9/1/15,,2,1.31,GBP,United Kingdom,,,,,B00U9WWU5M,,KU,,,,1.9865364,Schasm,Shari J. Ryan,,,1.51644
Encore,9/1/15,,20,14.38,USD,United States,,,,,B00U9WWUQG,,KOLL,,,,14.38,Essence,A.L. Waddington,,,1
Encore,9/1/15,,230,165.4,USD,United States,,,,,B00U9WWUQG,,Standard,,,,165.4,Essence,A.L. Waddington,,,1
Encore,9/1/15,,120,86.29,USD,United States,,,,,B00U9WWUQG,,KU,,,,86.29,Essence,A.L. Waddington,,,1
Encore,9/1/15,,4,2.09,USD,Canada,,,,,B00U9WWUQG,,Standard,,,,2.09,Essence,A.L. Waddington,,,1
Encore,9/1/15,,3,1.57,USD,Canada,,,,,B00U9WWUQG,,KU,,,,1.57,Essence,A.L. Waddington,,,1
Encore,9/1/15,,1,0.64,USD,Brazil,,,,,B00U9WWUQG,,Standard,,,,0.64,Essence,A.L. Waddington,,,1
Encore,9/1/15,,12,11.41,USD,United States,,,,,B00TG14ZHS,,KU,,,,11.41,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,11,10.46,USD,United States,,,,,B00TG14ZHS,,Standard,,,,10.46,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,1,0.95,USD,United States,,,,,B00TG14ZHS,,KOLL,,,,0.95,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00TG14ZHS,,KU,,,,1.37,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00TG14ZHS,,Standard,,,,1.37,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,1,1.38,USD,Australia,,,,,B00TG14ZHS,,Standard,,,,1.38,Spellbound in his Arms,Angel Sefer,,,1
Encore,9/1/15,,2,2.04,GBP,United Kingdom,,,,,B00TG14ZHS,,Standard,,,,3.0935376,Spellbound in his Arms,Angel Sefer,,,1.51644
Encore,9/1/15,,8,8.15,GBP,United Kingdom,,,,,B00TG14ZHS,,KU,,,,12.358986,Spellbound in his Arms,Angel Sefer,,,1.51644
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00U9WWU5W,,KOLL,,,,4.19,Double Blind,Tiffany Pitts,,,1
Encore,9/1/15,,4,5.59,USD,United States,,,,,B00U9WWU5W,,KU,,,,5.59,Double Blind,Tiffany Pitts,,,1
Encore,9/1/15,,2,2.79,USD,United States,,,,,B00U9WWU5W,,Standard,,,,2.79,Double Blind,Tiffany Pitts,,,1
Encore,9/1/15,,5,3.48,USD,United States,,,,,B00TG14YQ0,,Standard,,,,3.48,Who Killed 'Tom Jones'?,Gale Martin,,,1
Encore,9/1/15,,3,2.09,USD,United States,,,,,B00TG14YQ0,,KU,,,,2.09,Who Killed 'Tom Jones'?,Gale Martin,,,1
Encore,9/1/15,,3,2.29,USD,United States,,,,,B00TG14YVA,,KOLL,,,,2.29,Dead on Her Feet,Lisa Fernow,,,1
Encore,9/1/15,,50,38.21,USD,United States,,,,,B00TG14YVA,,KU,,,,38.21,Dead on Her Feet,Lisa Fernow,,,1
Encore,9/1/15,,150,114.63,USD,United States,,,,,B00TG14YVA,,Standard,,,,114.63,Dead on Her Feet,Lisa Fernow,,,1
