Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,4,14.64,USD,United States,,,9781620151693,,,,,16.95,,,,Seasons' End,"North, Will",Booktrope Editions,
LSI,9/1/15,9/30/15,3,8.49,USD,United States,,,9781620151709,,,,,16.95,,,,"Water, Stone, Heart","North, Will",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.17,USD,United States,,,9781620151716,,,,,16.95,,,,The Long Walk Home,"North, Will",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151723,,,,,16.95,,,,Seductive Secrecy,"Mann, Marni",Booktrope Entice,
LSI,9/1/15,9/30/15,0,0,USD,Germany,,,9781620151730,,,,,14.95,,,,The Dark Light of Day,"Frazier, T. M.",Booktrope Editions,
LSI,9/1/15,9/30/15,4,9.92,USD,United States,,,9781620151730,,,,,14.95,,,,The Dark Light of Day,"Frazier, T. M.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151747,,,,,18.95,,,,A Medical Affair,"McCarthy Strauss, Anne",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151754,,,,,12.95,,,,Living and Dying with Dogs,"Miller, Duke",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151761,,,,,13.95,,,,Of Stardust,"Grace, February",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151778,,,,,20.95,,,,These Sorrows We See (A Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.71,USD,United States,,,9781620151785,,,,,19.95,,,,The Secrets of Casanova,"Michaels, Greg",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151792,,,,,21.99,,,,The Werewolf of Lisbon,"Kidd, Chico",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151808,,,,,13.95,,,,Spirit Warriors: The Concealing,"Connor, D. E. L.",Booktrope Editions,
LSI,9/1/15,9/30/15,5,10.85,USD,United States,,,9781620151815,,,,,9.99,,,,"The Adventures of Emery Jones, Boy Science Wonder: Bending Time","Johnson, Charles",Booktrope Editions,
LSI,9/1/15,9/30/15,-15,-151.2,USD,United States,,,9781620151822,,,,,17.95,,,,Between Boyfriends,"Miller, Sarka-Jonae",Booktrope Editions,
LSI,9/1/15,9/30/15,25,70.25,USD,United States,,,9781620151839,,,,,13.95,,,,A Chorus of Wolves,"Kimmell, Alex",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151853,,,,,9.95,,,,Instructions For The Wishing Light,"Staley, Ann",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.13,USD,United States,,,9781620151860,,,,,12.95,,,,Zips Goes Wandering,"Marsh, Chris",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151884,,,,,34.95,,,,The Girls: Sappho Goes to Hollywood,"McLellan, Diana",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,Germany,,,9781620151891,,,,,15.95,,,,Revontuli,"Eddy, Andrew",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151891,,,,,15.95,,,,Revontuli,"Eddy, Andrew",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151914,,,,,16.95,,,,Running Secrets,"Williams, Arleen",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151921,,,,,14.95,,,,Swimming Upstream,"Mancini, Ruth",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151938,,,,,17.95,,,,Dead on Her Feet: A Tango Mystery,"Fernow, Lisa",Booktrope Editions,
LSI,9/1/15,9/30/15,1,0.85,USD,United States,,,9781620151945,,,,,6.99,,,,"Be Strong, Be Smart: A Father Talks to His Daughter About Sex","Wood, John Thomas",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151952,,,,,12.95,,,,One Day in Lubbock,"Wright, Daniel Lance",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151976,,,,,15.95,,,,Who Killed 'Tom Jones'?,"Martin, Gale",Booktrope Editions,
LSI,9/1/15,9/30/15,-15,-144.45,USD,United States,,,9781620151990,,,,,16.95,,,,Between the Sheets,"Miller, Sarka-Jonae",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152003,,,,,17.95,,,,Resigned Fate (Book Three of The Portals of Destiny),"West, Shay",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152010,,,,,15.95,,,,Schasm,"Ryan, Shari J.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152027,,,,,24.95,,,,Project Northwoods,"Bruce, Jonathan Charles",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152034,,,,,16.95,,,,Double Blind,"Pitts, Tiffany",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152041,,,,,16.95,,,,Undersea,"Morrison, Geoffrey",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152058,,,,,14.95,,,,Essence,"Waddington, A.L.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152065,,,,,16.95,,,,Arielle Immortal Awakening,"Roberts, Lilian",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.16,USD,United States,,,9781620152072,,,,,13.95,,,,The Unintentional Time Traveler,"Maroon, Everett",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620152089,,,,,16.95,,,,The Heart of Feeling,"Wood, John Thomas",Booktrope Editions,
