Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,5/1/15,5/31/15,70,94.3661061,USD,US,,,,,B00HAHFDO4,N/A,KU/KOLL Units,N/A,,,94.3661061,Swimming Upstream,Ruth Mancini
KDP,5/1/15,5/31/15,2,0.89,USD,US,,,,,B00HAHFDO4,35% - promo,Kindle Countdown Deals,2.99,,,0.89,Swimming Upstream,Ruth Mancini
KDP,5/1/15,5/31/15,336,253.54,USD,US,,,,,B00HAHFDO4,70% - promo,Kindle Countdown Deals,2.99,,,253.54,Swimming Upstream,Ruth Mancini
KDP,5/1/15,5/31/15,1,2.1,USD,US,,,,,B00HRCI56K,35%,Standard,5.99,,,2.1,Seasons' End,Will North
KDP,5/1/15,5/31/15,212,877.6,USD,US,,,,,B00HRCI56K,70%,Standard,5.99,,,877.6,Seasons' End,Will North
KDP,5/1/15,5/31/15,1,3.45,USD,US,,,,,B00HS9O8PO,70%,Standard,4.99,,,3.45,Living and Dying with Dogs,Duke Miller
KDP,5/1/15,5/31/15,1,1.34808723,USD,US,,,,,B00HYZMVWY,N/A,KU/KOLL Units,N/A,,,1.34808723,Schasm,Shari J. Ryan
KDP,5/1/15,5/31/15,3,5.25,USD,US,,,,,B00I4XAMB2,35%,Standard,4.99,,,5.25,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,5/1/15,5/31/15,17,53.95,USD,US,,,,,B00I4XAMB2,70%,Standard,4.97,,,53.95,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,5/1/15,5/31/15,10,3.5,USD,US,,,,,B00I9UQE26,35%,Standard,0.99,,,3.5,Arielle Immortal Awakening,Lilian Roberts
KDP,5/1/15,5/31/15,7,24.08,USD,US,,,,,B00I9UQE26,70%,Standard,4.99,,,24.08,Arielle Immortal Awakening,Lilian Roberts
KDP,5/1/15,5/31/15,46,62.01201258,USD,US,,,,,B00I9UQE26,N/A,KU/KOLL Units,N/A,,,62.01201258,Arielle Immortal Awakening,Lilian Roberts
KDP,5/1/15,5/31/15,1,3.35,USD,US,,,,,B00IH9TNGS,70%,Standard,4.99,,,3.35,Project Northwoods,Jonathan Charles Bruce
KDP,5/1/15,5/31/15,1,1.97,USD,US,,,,,B00II40EFG,70%,Standard,2.99,,,1.97,Zips Goes Wandering,Chris Marsh
KDP,5/1/15,5/31/15,2,3.93,USD,US,,,,,B00IIUX9I4,70%,Standard,2.88,,,3.93,The Unintentional Time Traveler,Everett Maroon
