Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,7/1/15,7/31/15,642,3.71022181,USD,US,,,,,B00IRL8O2U,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,3.71,Exodus 2022,Kenneth G. Bennett
KDP,7/1/15,7/31/15,1,1.75,USD,US,,,,,B00IZNNXAS,35%,Standard,4.99,,,1.75,Arielle Immortal Seduction,Lilian Roberts
KDP,7/1/15,7/31/15,2,6.88,USD,US,,,,,B00IZNNXAS,70%,Standard,4.99,,,6.88,Arielle Immortal Seduction,Lilian Roberts
KDP,7/1/15,7/31/15,3940,22.7698971,USD,US,,,,,B00IZNNXAS,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,22.77,Arielle Immortal Seduction,Lilian Roberts
KDP,7/1/15,7/31/15,3,8.28,USD,US,,,,,B00J6ELEX8,70%,Standard,3.99,,,8.28,Is This All There Is?,Patricia Mann
KDP,7/1/15,7/31/15,4442,25.67103626,USD,US,,,,,B00J6ELEX8,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,25.67,Is This All There Is?,Patricia Mann
KDP,7/1/15,7/31/15,1,0.35,USD,US,,,,,B00J6ELEX8,35% - promo,Kindle Countdown Deals,3.99,,,0.35,Is This All There Is?,Patricia Mann
KDP,7/1/15,7/31/15,51,33.66,USD,US,,,,,B00J6ELEX8,70% - promo,Kindle Countdown Deals,3.99,,,33.66,Is This All There Is?,Patricia Mann
KDP,7/1/15,7/31/15,3,8.22,USD,US,,,,,B00J8OLGUW,70%,Standard,3.99,,,8.22,Enlightened,A.L. Waddington
KDP,7/1/15,7/31/15,4,13.76,USD,US,,,,,B00J9U9OZO,70%,Standard,4.99,,,13.76,Memory Tower,Terry Persun
KDP,7/1/15,7/31/15,25,68.5,USD,US,,,,,B00JBR808W,70%,Standard,3.99,,,68.50,Unbreakable Bonds,Carolyn Ridder Aspenson
KDP,7/1/15,7/31/15,3,4.2,USD,US,,,,,B00JG8TRGA,35%,Standard,3.99,,,4.20,Pulled Within,Marni Mann
KDP,7/1/15,7/31/15,23,62.98,USD,US,,,,,B00JG8TRGA,70%,Standard,3.99,,,62.98,Pulled Within,Marni Mann
KDP,7/1/15,7/31/15,25155,145.3748125,USD,US,,,,,B00JG8TRGA,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,145.37,Pulled Within,Marni Mann
KDP,7/1/15,7/31/15,1,3.42,USD,US,,,,,B00JG8U6TC,70%,Standard,4.99,,,3.42,Fractured Dream,K.M. Randall
KDP,7/1/15,7/31/15,2309,13.34408439,USD,US,,,,,B00JG8U6TC,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,13.34,Fractured Dream,K.M. Randall
KDP,7/1/15,7/31/15,1,3.39,USD,US,,,,,B00JPS6NJA,70%,Standard,4.99,,,3.39,The Joe Vampire Collection,Steven Luna
