Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,7/1/15,7/31/15,1,5.58,USD,United States,,,9781620154403,,1620154404,,,14.95,,,5.58,Winter Hopes,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.04,USD,United States,,,9781620151181,,1620151189,,,17.95,,,6.04,A Tainted Mind,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.82,USD,United States,,,9781620151891,,1620151898,,,15.95,,,5.82,Revontuli,,7/3/15
CreateSpace,7/1/15,7/31/15,1,10.55,USD,United States,,,9781935961918,,1935961918,,,22.95,,,10.55,The Art of Grant Writing,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.65,USD,United States,,,9781620159415,,1620159414,,,16.95,,,5.65,Rules for Reforming a Rake,,7/4/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/4/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/4/15
CreateSpace,7/1/15,7/31/15,1,5.32,USD,United States,,,9781620155899,,1620155893,,,13.95,,,5.32,Ride of Your Life,,7/4/15
CreateSpace,7/1/15,7/31/15,1,6.37,USD,United States,,,9781513700052,,1513700057,,,16.95,,,6.37,Red Nights,,7/4/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/4/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/4/15
CreateSpace,7/1/15,7/31/15,1,6.18,USD,United States,,,9781620156728,,1620156725,,,16.95,,,6.18,Summer Champagne,,7/4/15
CreateSpace,7/1/15,7/31/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,7/4/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.58,USD,United States,,,9781620154403,,1620154404,,,14.95,,,5.58,Winter Hopes,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.53,USD,United States,,,9781935961727,,1935961721,,,14.95,,,5.53,Next Year I'll Be Perfect,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,7/5/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/5/15
CreateSpace,7/1/15,7/31/15,1,3.82,USD,United States,,,9781620158494,,1620158493,,,9.95,,,3.82,Tea and Madness,,7/5/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/5/15
CreateSpace,7/1/15,7/31/15,1,4.76,USD,United States,,,9781620158746,,1620158744,,,13.95,,,4.76,Shades of Blue,,7/5/15
CreateSpace,7/1/15,7/31/15,1,6.08,USD,United States,,,9781620155882,,1620155885,,,17.95,,,6.08,"Last Stop, The Twilight Zone: The Biography of Rod Serling",,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/5/15
CreateSpace,7/1/15,7/31/15,1,5.44,USD,United States,,,9781620156896,,162015689X,,,12.95,,,5.44,Broken Places,,7/6/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.97,USD,United States,,,9781620156216,,1620156210,,,13.5,,,4.97,Learning to Float,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/6/15
CreateSpace,7/1/15,7/31/15,1,5.22,USD,United States,,,9781620157664,,1620157667,,,13.95,,,5.22,Consumed,,7/6/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/6/15
CreateSpace,7/1/15,7/31/15,1,5.22,USD,United States,,,9781620154793,,162015479X,,,13.95,,,5.22,If I Say No,,7/6/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/6/15
CreateSpace,7/1/15,7/31/15,1,5.17,USD,United States,,,9781620151679,,1620151677,,,15.95,,,5.17,The Old Cape House,,7/6/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/6/15
CreateSpace,7/1/15,7/31/15,1,6.76,USD,United States,,,9781620154588,,1620154587,,,18.95,,,6.76,"Please, Pretty Lights",,7/6/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/6/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/6/15
CreateSpace,7/1/15,7/31/15,1,3.88,USD,United States,,,9781620157145,,1620157144,,,13.95,,,3.88,Three-Year-Olds Are A**holes,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/6/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/6/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/6/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/6/15
