Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,1/1/15,1/31/15,,1.45,usd,New Zealand,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620152386,,,,,,2.99,,1.5,,Riverbend,,
Scribd,1/1/15,1/31/15,,1.5,usd,United States,,9781620152386,,,,,,2.99,,1.5,,Riverbend,,
Scribd,12/1/14,12/31/14,,4.5,usd,United States,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,South Africa,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,Australia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,Australia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United Kingdom,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,Australia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,South Africa,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,South Africa,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620150436,,,,,,2.99,,1.5,,Ring of Fire,Heather Huffman,Booktrope Publishing
Scribd,12/1/14,12/31/14,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,Jamaica,,9781620150832,,,,,,2.99,,1.5,,Changeling Eyes,L. A. Catron,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,Booktrope Publishing
Scribd,12/1/14,12/31/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,Booktrope Publishing
Scribd,11/1/14,11/30/14,,4.5,usd,India,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Australia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Sweden,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Malaysia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Malaysia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Ghana,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,United Kingdom,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,Lebanon,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,United Kingdom,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,
Scribd,11/1/14,11/30/14,,1.5,usd,Canada,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,
Scribd,11/1/14,11/30/14,,1.45,usd,South Africa,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,11/1/14,11/30/14,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,
Scribd,11/1/14,11/30/14,,2,usd,United Kingdom,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,
Scribd,11/1/14,11/30/14,,2,usd,Canada,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,
Scribd,11/1/14,11/30/14,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,
